========================================================
Project : /share/home/yuan/SYX/eeg-mi-online
Env     : mi_torch_cu118
Args    : --config configs/session_model_compare.yaml --models eegnet,deepconvnet,fbcnet --protocol cross --seeds 4
Node    : gpu01  |  Start: Sun Jun  7 12:43:00 CST 2026
========================================================
[env] python: /share/home/yuan/.conda/envs/mi_torch_cu118/bin/python | CONDA_DEFAULT_ENV=mi_torch_cu118
Sun Jun  7 12:43:00 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:A1:00.0 Off |                  Off |
| 30%   43C    P0             60W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-07 12:43:04 | INFO    | train_session_models | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-07 12:43:04 | INFO    | train_session_models | loaded 148 ok sessions across 51 subjects | models=['eegnet', 'deepconvnet', 'fbcnet'] | protocols=['cross'] | seeds=[4] | folds=10
2026-06-07 12:43:04 | INFO    | train_session_models | === RUN cross__eegnet ===
2026-06-07 13:12:48 | INFO    | train_session_models | [cross] eegnet      sub-036 seed=4 mean_acc=0.9233 (6 pairs)
2026-06-07 13:13:39 | INFO    | train_session_models | [cross] eegnet      sub-037 seed=4 mean_acc=0.8767 (6 pairs)
2026-06-07 13:14:41 | INFO    | train_session_models | [cross] eegnet      sub-038 seed=4 mean_acc=0.4875 (6 pairs)
2026-06-07 13:15:20 | INFO    | train_session_models | [cross] eegnet      sub-039 seed=4 mean_acc=0.4917 (6 pairs)
2026-06-07 13:16:19 | INFO    | train_session_models | [cross] eegnet      sub-040 seed=4 mean_acc=0.6733 (6 pairs)
2026-06-07 13:17:08 | INFO    | train_session_models | [cross] eegnet      sub-041 seed=4 mean_acc=0.8742 (6 pairs)
2026-06-07 13:17:51 | INFO    | train_session_models | [cross] eegnet      sub-042 seed=4 mean_acc=0.6658 (6 pairs)
2026-06-07 13:19:05 | INFO    | train_session_models | [cross] eegnet      sub-043 seed=4 mean_acc=0.9417 (6 pairs)
2026-06-07 13:19:43 | INFO    | train_session_models | [cross] eegnet      sub-044 seed=4 mean_acc=0.6500 (6 pairs)
2026-06-07 13:20:36 | INFO    | train_session_models | [cross] eegnet      sub-045 seed=4 mean_acc=0.8000 (6 pairs)
2026-06-07 13:21:50 | INFO    | train_session_models | [cross] eegnet      sub-046 seed=4 mean_acc=0.9708 (6 pairs)
2026-06-07 13:22:32 | INFO    | train_session_models | [cross] eegnet      sub-047 seed=4 mean_acc=0.7458 (6 pairs)
2026-06-07 13:23:14 | INFO    | train_session_models | [cross] eegnet      sub-048 seed=4 mean_acc=0.7792 (6 pairs)
2026-06-07 13:24:14 | INFO    | train_session_models | [cross] eegnet      sub-049 seed=4 mean_acc=0.7483 (6 pairs)
2026-06-07 13:25:45 | INFO    | train_session_models | [cross] eegnet      sub-050 seed=4 mean_acc=0.8800 (6 pairs)
2026-06-07 13:26:38 | INFO    | train_session_models | [cross] eegnet      sub-051 seed=4 mean_acc=0.7883 (6 pairs)
2026-06-07 13:26:38 | INFO    | train_session_models | cross__eegnet: 288 rows -> /share/home/yuan/SYX/eeg-mi-online/outputs/experiments/session_model_compare_v1/runs/cross__eegnet__seed*.csv (seeds=[4], 2614.6s)
2026-06-07 13:26:38 | INFO    | train_session_models | === RUN cross__deepconvnet ===
2026-06-07 13:27:45 | INFO    | train_session_models | [cross] deepconvnet sub-001 seed=4 mean_acc=0.7333 (6 pairs)
2026-06-07 13:28:49 | INFO    | train_session_models | [cross] deepconvnet sub-002 seed=4 mean_acc=0.6158 (6 pairs)
2026-06-07 13:29:58 | INFO    | train_session_models | [cross] deepconvnet sub-003 seed=4 mean_acc=0.7217 (6 pairs)
2026-06-07 13:30:37 | INFO    | train_session_models | [cross] deepconvnet sub-004 seed=4 mean_acc=0.5050 (6 pairs)
2026-06-07 13:31:37 | INFO    | train_session_models | [cross] deepconvnet sub-005 seed=4 mean_acc=0.6142 (6 pairs)
2026-06-07 13:33:10 | INFO    | train_session_models | [cross] deepconvnet sub-006 seed=4 mean_acc=0.7808 (6 pairs)
2026-06-07 13:34:08 | INFO    | train_session_models | [cross] deepconvnet sub-007 seed=4 mean_acc=0.7075 (6 pairs)
2026-06-07 13:35:18 | INFO    | train_session_models | [cross] deepconvnet sub-008 seed=4 mean_acc=0.6133 (6 pairs)
2026-06-07 13:36:04 | INFO    | train_session_models | [cross] deepconvnet sub-009 seed=4 mean_acc=0.6275 (6 pairs)
2026-06-07 13:36:52 | INFO    | train_session_models | [cross] deepconvnet sub-010 seed=4 mean_acc=0.5617 (6 pairs)
2026-06-07 13:38:09 | INFO    | train_session_models | [cross] deepconvnet sub-011 seed=4 mean_acc=0.7892 (6 pairs)
2026-06-07 13:38:51 | INFO    | train_session_models | [cross] deepconvnet sub-012 seed=4 mean_acc=0.5242 (6 pairs)
2026-06-07 13:39:43 | INFO    | train_session_models | [cross] deepconvnet sub-013 seed=4 mean_acc=0.7033 (6 pairs)
2026-06-07 13:40:28 | INFO    | train_session_models | [cross] deepconvnet sub-014 seed=4 mean_acc=0.4892 (6 pairs)
2026-06-07 13:41:32 | INFO    | train_session_models | [cross] deepconvnet sub-015 seed=4 mean_acc=0.5692 (6 pairs)
2026-06-07 13:42:05 | INFO    | train_session_models | [cross] deepconvnet sub-016 seed=4 mean_acc=0.5217 (6 pairs)
2026-06-07 13:42:52 | INFO    | train_session_models | [cross] deepconvnet sub-017 seed=4 mean_acc=0.6592 (6 pairs)
2026-06-07 13:43:43 | INFO    | train_session_models | [cross] deepconvnet sub-018 seed=4 mean_acc=0.6200 (6 pairs)
2026-06-07 13:44:35 | INFO    | train_session_models | [cross] deepconvnet sub-019 seed=4 mean_acc=0.6667 (6 pairs)
2026-06-07 13:45:52 | INFO    | train_session_models | [cross] deepconvnet sub-020 seed=4 mean_acc=0.5992 (6 pairs)
2026-06-07 13:46:43 | INFO    | train_session_models | [cross] deepconvnet sub-021 seed=4 mean_acc=0.6400 (6 pairs)
2026-06-07 13:47:50 | INFO    | train_session_models | [cross] deepconvnet sub-022 seed=4 mean_acc=0.5875 (6 pairs)
2026-06-07 13:48:15 | INFO    | train_session_models | [cross] deepconvnet sub-023 seed=4 mean_acc=0.6925 (2 pairs)
2026-06-07 13:48:15 | INFO    | train_session_models | [cross] sub-024 has <2 ok sessions; skipped.
2026-06-07 13:49:04 | INFO    | train_session_models | [cross] deepconvnet sub-025 seed=4 mean_acc=0.8600 (6 pairs)
2026-06-07 13:49:21 | INFO    | train_session_models | [cross] deepconvnet sub-026 seed=4 mean_acc=0.8875 (2 pairs)
2026-06-07 13:50:14 | INFO    | train_session_models | [cross] deepconvnet sub-027 seed=4 mean_acc=0.6000 (6 pairs)
2026-06-07 13:51:02 | INFO    | train_session_models | [cross] deepconvnet sub-028 seed=4 mean_acc=0.5750 (6 pairs)
2026-06-07 13:52:16 | INFO    | train_session_models | [cross] deepconvnet sub-029 seed=4 mean_acc=0.6142 (6 pairs)
2026-06-07 13:53:04 | INFO    | train_session_models | [cross] deepconvnet sub-030 seed=4 mean_acc=0.7300 (6 pairs)
2026-06-07 13:53:46 | INFO    | train_session_models | [cross] deepconvnet sub-031 seed=4 mean_acc=0.6725 (6 pairs)
2026-06-07 13:54:01 | INFO    | train_session_models | [cross] deepconvnet sub-032 seed=4 mean_acc=0.5775 (2 pairs)
2026-06-07 13:55:07 | INFO    | train_session_models | [cross] deepconvnet sub-033 seed=4 mean_acc=0.7792 (6 pairs)
2026-06-07 13:56:01 | INFO    | train_session_models | [cross] deepconvnet sub-034 seed=4 mean_acc=0.7533 (6 pairs)
2026-06-07 13:57:19 | INFO    | train_session_models | [cross] deepconvnet sub-035 seed=4 mean_acc=0.9358 (6 pairs)
2026-06-07 13:58:25 | INFO    | train_session_models | [cross] deepconvnet sub-036 seed=4 mean_acc=0.9108 (6 pairs)
2026-06-07 13:59:16 | INFO    | train_session_models | [cross] deepconvnet sub-037 seed=4 mean_acc=0.8717 (6 pairs)
2026-06-07 14:00:10 | INFO    | train_session_models | [cross] deepconvnet sub-038 seed=4 mean_acc=0.5317 (6 pairs)
2026-06-07 14:01:03 | INFO    | train_session_models | [cross] deepconvnet sub-039 seed=4 mean_acc=0.5067 (6 pairs)
2026-06-07 14:01:43 | INFO    | train_session_models | [cross] deepconvnet sub-040 seed=4 mean_acc=0.6408 (6 pairs)
2026-06-07 14:02:29 | INFO    | train_session_models | [cross] deepconvnet sub-041 seed=4 mean_acc=0.8017 (6 pairs)
2026-06-07 14:03:16 | INFO    | train_session_models | [cross] deepconvnet sub-042 seed=4 mean_acc=0.5725 (6 pairs)
2026-06-07 14:04:23 | INFO    | train_session_models | [cross] deepconvnet sub-043 seed=4 mean_acc=0.9100 (6 pairs)
2026-06-07 14:05:04 | INFO    | train_session_models | [cross] deepconvnet sub-044 seed=4 mean_acc=0.6100 (6 pairs)
2026-06-07 14:06:02 | INFO    | train_session_models | [cross] deepconvnet sub-045 seed=4 mean_acc=0.7433 (6 pairs)
2026-06-07 14:06:55 | INFO    | train_session_models | [cross] deepconvnet sub-046 seed=4 mean_acc=0.9292 (6 pairs)
2026-06-07 14:07:43 | INFO    | train_session_models | [cross] deepconvnet sub-047 seed=4 mean_acc=0.7092 (6 pairs)
2026-06-07 14:08:20 | INFO    | train_session_models | [cross] deepconvnet sub-048 seed=4 mean_acc=0.7467 (6 pairs)
2026-06-07 14:09:33 | INFO    | train_session_models | [cross] deepconvnet sub-049 seed=4 mean_acc=0.6433 (6 pairs)
2026-06-07 14:10:35 | INFO    | train_session_models | [cross] deepconvnet sub-050 seed=4 mean_acc=0.8083 (6 pairs)
2026-06-07 14:11:27 | INFO    | train_session_models | [cross] deepconvnet sub-051 seed=4 mean_acc=0.6800 (6 pairs)
2026-06-07 14:11:27 | INFO    | train_session_models | cross__deepconvnet: 288 rows -> /share/home/yuan/SYX/eeg-mi-online/outputs/experiments/session_model_compare_v1/runs/cross__deepconvnet__seed*.csv (seeds=[4], 2688.5s)
2026-06-07 14:11:27 | INFO    | train_session_models | === RUN cross__fbcnet ===
2026-06-07 14:12:31 | INFO    | train_session_models | [cross] fbcnet      sub-001 seed=4 mean_acc=0.6633 (6 pairs)
2026-06-07 14:13:03 | INFO    | train_session_models | [cross] fbcnet      sub-002 seed=4 mean_acc=0.5142 (6 pairs)
2026-06-07 14:14:09 | INFO    | train_session_models | [cross] fbcnet      sub-003 seed=4 mean_acc=0.6308 (6 pairs)
2026-06-07 14:14:39 | INFO    | train_session_models | [cross] fbcnet      sub-004 seed=4 mean_acc=0.5367 (6 pairs)
2026-06-07 14:16:08 | INFO    | train_session_models | [cross] fbcnet      sub-005 seed=4 mean_acc=0.6958 (6 pairs)
2026-06-07 14:18:00 | INFO    | train_session_models | [cross] fbcnet      sub-006 seed=4 mean_acc=0.6433 (6 pairs)
2026-06-07 14:18:39 | INFO    | train_session_models | [cross] fbcnet      sub-007 seed=4 mean_acc=0.5425 (6 pairs)
2026-06-07 14:19:21 | INFO    | train_session_models | [cross] fbcnet      sub-008 seed=4 mean_acc=0.5942 (6 pairs)
2026-06-07 14:19:49 | INFO    | train_session_models | [cross] fbcnet      sub-009 seed=4 mean_acc=0.5433 (6 pairs)
2026-06-07 14:20:35 | INFO    | train_session_models | [cross] fbcnet      sub-010 seed=4 mean_acc=0.5483 (6 pairs)
2026-06-07 14:21:34 | INFO    | train_session_models | [cross] fbcnet      sub-011 seed=4 mean_acc=0.5908 (6 pairs)
2026-06-07 14:22:06 | INFO    | train_session_models | [cross] fbcnet      sub-012 seed=4 mean_acc=0.4958 (6 pairs)
2026-06-07 14:22:43 | INFO    | train_session_models | [cross] fbcnet      sub-013 seed=4 mean_acc=0.4975 (6 pairs)
2026-06-07 14:23:11 | INFO    | train_session_models | [cross] fbcnet      sub-014 seed=4 mean_acc=0.4833 (6 pairs)
2026-06-07 14:23:41 | INFO    | train_session_models | [cross] fbcnet      sub-015 seed=4 mean_acc=0.5192 (6 pairs)
2026-06-07 14:24:07 | INFO    | train_session_models | [cross] fbcnet      sub-016 seed=4 mean_acc=0.5117 (6 pairs)
2026-06-07 14:24:35 | INFO    | train_session_models | [cross] fbcnet      sub-017 seed=4 mean_acc=0.5208 (6 pairs)
2026-06-07 14:25:03 | INFO    | train_session_models | [cross] fbcnet      sub-018 seed=4 mean_acc=0.5100 (6 pairs)
2026-06-07 14:26:12 | INFO    | train_session_models | [cross] fbcnet      sub-019 seed=4 mean_acc=0.5567 (6 pairs)
2026-06-07 14:27:20 | INFO    | train_session_models | [cross] fbcnet      sub-020 seed=4 mean_acc=0.5217 (6 pairs)
2026-06-07 14:27:54 | INFO    | train_session_models | [cross] fbcnet      sub-021 seed=4 mean_acc=0.5500 (6 pairs)
2026-06-07 14:28:35 | INFO    | train_session_models | [cross] fbcnet      sub-022 seed=4 mean_acc=0.5467 (6 pairs)
2026-06-07 14:28:58 | INFO    | train_session_models | [cross] fbcnet      sub-023 seed=4 mean_acc=0.8000 (2 pairs)
2026-06-07 14:28:58 | INFO    | train_session_models | [cross] sub-024 has <2 ok sessions; skipped.
2026-06-07 14:30:19 | INFO    | train_session_models | [cross] fbcnet      sub-025 seed=4 mean_acc=0.5967 (6 pairs)
2026-06-07 14:30:48 | INFO    | train_session_models | [cross] fbcnet      sub-026 seed=4 mean_acc=0.6200 (2 pairs)
2026-06-07 14:31:42 | INFO    | train_session_models | [cross] fbcnet      sub-027 seed=4 mean_acc=0.5242 (6 pairs)
2026-06-07 14:32:54 | INFO    | train_session_models | [cross] fbcnet      sub-028 seed=4 mean_acc=0.7033 (6 pairs)
2026-06-07 14:34:09 | INFO    | train_session_models | [cross] fbcnet      sub-029 seed=4 mean_acc=0.7592 (6 pairs)
2026-06-07 14:35:10 | INFO    | train_session_models | [cross] fbcnet      sub-030 seed=4 mean_acc=0.6983 (6 pairs)
2026-06-07 14:36:04 | INFO    | train_session_models | [cross] fbcnet      sub-031 seed=4 mean_acc=0.5367 (6 pairs)
2026-06-07 14:36:14 | INFO    | train_session_models | [cross] fbcnet      sub-032 seed=4 mean_acc=0.5700 (2 pairs)
2026-06-07 14:37:23 | INFO    | train_session_models | [cross] fbcnet      sub-033 seed=4 mean_acc=0.8950 (6 pairs)
2026-06-07 14:38:06 | INFO    | train_session_models | [cross] fbcnet      sub-034 seed=4 mean_acc=0.5317 (6 pairs)
2026-06-07 14:39:50 | INFO    | train_session_models | [cross] fbcnet      sub-035 seed=4 mean_acc=0.8608 (6 pairs)
2026-06-07 14:41:32 | INFO    | train_session_models | [cross] fbcnet      sub-036 seed=4 mean_acc=0.8333 (6 pairs)
2026-06-07 14:42:38 | INFO    | train_session_models | [cross] fbcnet      sub-037 seed=4 mean_acc=0.6258 (6 pairs)
2026-06-07 14:43:33 | INFO    | train_session_models | [cross] fbcnet      sub-038 seed=4 mean_acc=0.5075 (6 pairs)
2026-06-07 14:44:27 | INFO    | train_session_models | [cross] fbcnet      sub-039 seed=4 mean_acc=0.5567 (6 pairs)
2026-06-07 14:45:19 | INFO    | train_session_models | [cross] fbcnet      sub-040 seed=4 mean_acc=0.6583 (6 pairs)
2026-06-07 14:46:56 | INFO    | train_session_models | [cross] fbcnet      sub-041 seed=4 mean_acc=0.7400 (6 pairs)
2026-06-07 14:47:46 | INFO    | train_session_models | [cross] fbcnet      sub-042 seed=4 mean_acc=0.5608 (6 pairs)
2026-06-07 14:49:25 | INFO    | train_session_models | [cross] fbcnet      sub-043 seed=4 mean_acc=0.9425 (6 pairs)
2026-06-07 14:50:04 | INFO    | train_session_models | [cross] fbcnet      sub-044 seed=4 mean_acc=0.5417 (6 pairs)
2026-06-07 14:51:09 | INFO    | train_session_models | [cross] fbcnet      sub-045 seed=4 mean_acc=0.6675 (6 pairs)
2026-06-07 14:52:55 | INFO    | train_session_models | [cross] fbcnet      sub-046 seed=4 mean_acc=0.9150 (6 pairs)
2026-06-07 14:54:27 | INFO    | train_session_models | [cross] fbcnet      sub-047 seed=4 mean_acc=0.7675 (6 pairs)
2026-06-07 14:55:16 | INFO    | train_session_models | [cross] fbcnet      sub-048 seed=4 mean_acc=0.5675 (6 pairs)
2026-06-07 14:56:46 | INFO    | train_session_models | [cross] fbcnet      sub-049 seed=4 mean_acc=0.7108 (6 pairs)
2026-06-07 14:58:15 | INFO    | train_session_models | [cross] fbcnet      sub-050 seed=4 mean_acc=0.8175 (6 pairs)
2026-06-07 14:59:07 | INFO    | train_session_models | [cross] fbcnet      sub-051 seed=4 mean_acc=0.7333 (6 pairs)
2026-06-07 14:59:07 | INFO    | train_session_models | cross__fbcnet: 288 rows -> /share/home/yuan/SYX/eeg-mi-online/outputs/experiments/session_model_compare_v1/runs/cross__fbcnet__seed*.csv (seeds=[4], 2860.1s)
2026-06-07 14:59:07 | INFO    | train_session_models | ALL DONE in 8163.4s | outputs in /share/home/yuan/SYX/eeg-mi-online/outputs/experiments/session_model_compare_v1
--------------------------------------------------------
Done: Sun Jun  7 14:59:08 CST 2026
========================================================
